"product_title","location","account_seller","price","review","installment","rating","brand_hp"
"redmi 6a tam 2/16 no repack","Kab. Bekasi","Joy.selluler",1185000,178,49375,5,"xiaomi"
"Samsung Galaxy A20 (3GB/32GB) - Black","Jakarta","Samsung Mobile Indonesia",2150000,39,89584,4.9,"samsung"
"VIVO Y93","Jakarta","Bintang Ponsell",1739000,77,72459,4.9,"vivo"
"SAMSUNG J2 PRIME - GARANSI RESMI","Jakarta","HS Hallophoneshop",1120000,64,46667,4.9,"samsung"
"Xiaomi Redmi 6A 2/16 Garansi TAM","Medan","Sc_digital",1201000,120,50042,5,"xiaomi"
"Xiaomi Redmi 5A","Medan","Bigtoes Men Shoes",2500000,122,104167,5,"xiaomi"
"Samsung Galaxy A30 4/64 RAM 4GB ROM 64GB GARANSI RESMI SEIN","Jakarta","Cellular Mas",2725000,153,113542,4.9,"samsung"
"Redmi 6A Garansi resmi TAM","Surakarta","RahmadCel",1200000,125,50000,5,"xiaomi"
"Xiaomi Redmi 6 3/32 grs Tam","Jakarta","State Of Watch",1625000,101,67709,5,"xiaomi"
"Samsung Lipat Caramel GT-E1272 Garansi Distributor","Jakarta","tami_cell",165000,51,6875,4.2,"samsung"
"Asus zenfone live L1 RAM2GB/16GB Black/Gold","Medan","JELWY CELL",1150000,93,47917,5,"asus"
"XIAOMI REDMI 6A RAM 2-16GB GRS RESMI TAM 1 TAHUN","Tangerang Selatan","AURORA PONSEL PMLG",1195000,76,49792,4.9,"xiaomi"
"Samsung J2 PRIME 4G Layar Lebar 5 Inch","Jakarta","TIFFA-Store",2e+06,93,83334,5,"samsung"
"Xiaomi redmi 6a 2/16gb black n blue TAM BNIB","Surabaya","Jessevenn",1195000,58,49792,5,"xiaomi"
"Iphone 6S 16gb Bekas Fullset","Jakarta","Boboy Store",2150000,70,89584,4.7,"apple"
"XIAOMI REDMI 6A GARANSI RESMI TAM","Medan","AS-PHONE",1200000,60,50000,5,"xiaomi"
"Samsung J2 Prime Garansi Resmi Sein 1 Tahun","Surabaya","Surya Notebook",1132000,74,47167,4.8,"samsung"
"Oppo A5s Resmi","Jakarta","VodaPGC",2e+06,181,83334,5,"oppo"
"sony z3c docomo","Jakarta","Dosu",9e+05,99,37500,5,"sony"
"Samsung J7 Prime 3/32GB Rose Gold","Jakarta","Amnes phone",2e+06,49,83334,5,"samsung"
"Samsung j2 Prime New Resmi","Semarang","MenBroklyn",1119000,68,46625,4.9,"samsung"
"[VnD] Samsung Galaxy A10 - 2/32 GB - Garansi Resmi","Jakarta","VnD Collection",1504500,29,62688,5,"samsung"
"OPPO F11 PRO RAM 6/64","Jambi","TOKO_AVEIRO",4599000,142,191625,5,"oppo"
"IPHONE 7 128 GB GARANSI DISTRIBUTOR 1 TAHUN","Jakarta","GoodCell",3680000,119,153334,4.8,"apple"
"Samsung Galaxy A50 6/128 RAM 6GB ROM 128GB GARANSI RESMI SEIN","Jakarta","Cellular Mas",4120000,101,171667,5,"samsung"
"Xiaomi Redmi 6A Ram 2GB Internal 16GB Garansi Resmi TAM","Surabaya","Surya Notebook",1190000,54,49584,4.8,"xiaomi"
"Xiaomi Redmi 6A Tam","Bandung","B8Shop",1180000,50,49167,4.9,"xiaomi"
"XIAOMI Redmi 6A Resmi Tam Termurah","Surabaya","NoS.Store",1190000,135,49584,4.8,"xiaomi"
"Xiaomi Redmi 6A","Semarang","Mozambik Cell",1190000,63,49584,5,"xiaomi"
"Oppo A5S garansi Resmi","Bekasi","kingstar8899",2100000,154,87500,5,"oppo"
"GARANSI RESMI - Samsung Galaxy J7 Duo RAM 3GB / 32GB - SEGEL SEIN","Pekanbaru","Devincitore",1599900,37,66663,4.7,"samsung"
